Data/Hora Login,Perfil,Usuário,Ação,Data/Hora Logout
18/02/2026 18:13:40,Admin,Daniel,Login no sistema,-
18/02/2026 18:17:21,Admin,Daniel,Login no sistema,-
18/02/2026 18:21:42,Admin,Daniel,Login no sistema,-
18/02/2026 18:28:04,Admin,Daniel,Login no sistema,-
18/02/2026 18:31:03,Admin,Daniel,Login no sistema,-
18/02/2026 18:31:53,Admin,pedro,Login no sistema,-
18/02/2026 18:36:43,Admin,Bruno,Login no sistema,-
18/02/2026 18:38:26,Admin,Bruno,Login ,-
18/02/2026 18:50:40,Admin,Daniel,Login ,-
18/02/2026 18:53:28,Admin,Daniel,Login ,-
18/02/2026 19:00:58,Admin,Daniel,Login ,-
18/02/2026 19:01:55,Admin,pedro,Login ,-
18/02/2026  19:54:47,Admin,Novo lançamento para: ju | Valor: 57.0
18/02/2026  20:01:34,Admin,Novo lançamento para: alice | Valor: 24.0
